section,column_name,metric,value
numeric_stats,CustomerID,q1,1105.0
numeric_stats,CustomerID,q3,1503.0
numeric_stats,CustomerID,max,1871
numeric_stats,CustomerID,min,1020
numeric_stats,CustomerID,mean,1349.45
numeric_stats,CustomerID,count,20
numeric_stats,CustomerID,median,1300.0
numeric_stats,CustomerID,std_dev,273.44
numeric_stats,CustomerID,null_count,0
numeric_stats,CustomerZip,q1,47951.0
numeric_stats,CustomerZip,q3,85001.0
numeric_stats,CustomerZip,max,90001
numeric_stats,CustomerZip,min,10001
numeric_stats,CustomerZip,mean,62941.0
numeric_stats,CustomerZip,count,20
numeric_stats,CustomerZip,median,85001.0
numeric_stats,CustomerZip,std_dev,32700.562
numeric_stats,CustomerZip,null_count,0
numeric_stats,ProductPrice,q1,408.82
numeric_stats,ProductPrice,q3,634.158
numeric_stats,ProductPrice,max,927.87
numeric_stats,ProductPrice,min,104.17
numeric_stats,ProductPrice,mean,517.65
numeric_stats,ProductPrice,count,20
numeric_stats,ProductPrice,median,492.015
numeric_stats,ProductPrice,std_dev,222.97
numeric_stats,ProductPrice,null_count,0
numeric_stats,ProductDiscount,q1,0.073
numeric_stats,ProductDiscount,q3,0.242
numeric_stats,ProductDiscount,max,0.3
numeric_stats,ProductDiscount,min,0.01
numeric_stats,ProductDiscount,mean,0.147
numeric_stats,ProductDiscount,count,20
numeric_stats,ProductDiscount,median,0.155
numeric_stats,ProductDiscount,std_dev,0.095
numeric_stats,ProductDiscount,null_count,0
numeric_stats,ShippingCost,q1,11.27
numeric_stats,ShippingCost,q3,16.152
numeric_stats,ShippingCost,max,19.41
numeric_stats,ShippingCost,min,5.44
numeric_stats,ShippingCost,mean,13.414
numeric_stats,ShippingCost,count,20
numeric_stats,ShippingCost,median,13.895
numeric_stats,ShippingCost,std_dev,3.607
numeric_stats,ShippingCost,null_count,0
numeric_stats,RefundAmount,q1,200.147
numeric_stats,RefundAmount,q3,393.4
numeric_stats,RefundAmount,max,481.16
numeric_stats,RefundAmount,min,22.28
numeric_stats,RefundAmount,mean,293.704
numeric_stats,RefundAmount,count,20
numeric_stats,RefundAmount,median,295.445
numeric_stats,RefundAmount,std_dev,137.884
numeric_stats,RefundAmount,null_count,0
categorical_stats,CustomerName,count,20
categorical_stats,CustomerName,null_count,0
categorical_stats,CustomerName,top_values,"[{""count"": 2, ""value"": ""Alice""}, {""count"": 1, ""value"": ""David""}, {""count"": 1, ""value"": ""Bob""}, {""count"": 1, ""value"": ""Charlie""}, {""count"": 1, ""value"": ""Eva""}]"
categorical_stats,CustomerName,cardinality,19
categorical_stats,CustomerName,max_count_freq,2
categorical_stats,CustomerName,min_count_freq,1
categorical_stats,CustomerName,lowest_freq_value,"""David"""
categorical_stats,CustomerName,highest_freq_value,"""Alice"""
categorical_stats,CustomerEmail,count,20
categorical_stats,CustomerEmail,null_count,0
categorical_stats,CustomerEmail,top_values,"[{""count"": 1, ""value"": ""david.jones@gmail.com""}, {""count"": 1, ""value"": ""bob.smith@yahoo.com""}, {""count"": 1, ""value"": ""charlie.brown@outlook.com""}, {""count"": 1, ""value"": ""alice.wilson@hotmail.com""}, {""count"": 1, ""value"": ""eva.miller@gmail.com""}]"
categorical_stats,CustomerEmail,cardinality,20
categorical_stats,CustomerEmail,max_count_freq,1
categorical_stats,CustomerEmail,min_count_freq,1
categorical_stats,CustomerEmail,lowest_freq_value,"""david.jones@gmail.com"""
categorical_stats,CustomerEmail,highest_freq_value,"""david.jones@gmail.com"""
categorical_stats,CustomerAddress,count,20
categorical_stats,CustomerAddress,null_count,0
